"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Selected police-reported crime and calls for service during the COVID-19 pandemic","35100169",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3510016901",1;2;3;4;8,"CURRENT - a cube available to the public and that is current","Monthly","2019-03-01","2022-06-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Violations and calls for service",,""
"3","Statistics",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Royal Newfoundland Constabulary [10C01]","[10C01]","1","20","",,
"1","Kennebecasis Region, New Brunswick, municipal [13024]","[13024]","2","20","",,
"1","Ottawa, Ontario, municipal [35010]","[35010]","3","20","",,
"1","Halton Region (Oakville/Burlington), Ontario, municipal [35048]","[35048]","4","20","",,
"1","London, Ontario, municipal [35162]","[35162]","5","20","",,
"1","Waterloo Region (Kitchener), Ontario, municipal [35291]","[35291]","6","20","",,
"1","Toronto, Ontario, municipal [35304]","[35304]","7","20","",,
"1","York Region, Ontario, municipal [35335]","[35335]","8","20","",,
"1","Ontario Provincial Police [35C01]","[35C01]","9","20","",,
"1","Winnipeg, Manitoba, municipal [46064]","[46064]","10","20","",,
"1","Regina, Saskatchewan, municipal [47063]","[47063]","11","20","",,
"1","Saskatoon, Saskatchewan, municipal [47066]","[47066]","12","20","",,
"1","Calgary, Alberta, municipal [48014]","[48014]","13","20","",,
"1","Edmonton, Alberta, municipal [48033]","[48033]","14","20","",,
"1","Vancouver, British Columbia, municipal [59023]","[59023]","15","20","",,
"1","Victoria, British Columbia, municipal [59025]","[59025]","16","20","",6,
"1","Royal Canadian Mounted Police [99C01]","[99C01]","17","20","",,
"1","Montréal, Quebec, municipal [24175]","[24175]","18","20","",,
"1","Quebec Provincial Police [24C01]","[24C01]","19","20","",,
"1","Total, Selected police services","","20","","t",2,
"2","Assaults by non-family (levels 1, 2, 3)","","2","1","",,
"2","Assaults by family (levels 1, 2, 3)","","3","1","",,
"2","Assaults where relationship type is unknown","","4","1","",,
