Vector ID,Year,Month,Province,Crime Category,Crime Type,Coordinate,Value
v1210497717,2019,8,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,401.0
v1210497717,2019,12,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,399.0
v1210497717,2019,5,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,393.0
v1210497717,2019,11,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,392.0
v1210497717,2019,9,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,391.0
v1210497717,2019,3,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,377.0
v1210497717,2019,4,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,377.0
v1210497717,2019,7,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,370.0
v1210497717,2019,6,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,365.0
v1210497717,2019,10,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,349.0
v1210497717,2020,8,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,337.0
v1210497717,2020,1,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,320.0
v1210497717,2020,12,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,313.0
v1210497717,2020,6,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,310.0
v1210497717,2020,5,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,307.0
v1210497717,2020,7,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,307.0
v1210497717,2020,2,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,304.0
v1210497717,2021,7,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,304.0
v1210497717,2021,5,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,302.0
v1210497717,2020,10,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,300.0
v1210497717,2021,8,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,299.0
v1210497717,2021,2,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,296.0
v1210497717,2020,4,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,291.0
v1210497717,2021,6,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,291.0
v1210497717,2020,11,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,283.0
v1210497717,2020,3,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,278.0
v1210497717,2020,9,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,273.0
v1210497717,2021,3,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,271.0
v1210497717,2021,1,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,270.0
v1210497717,2021,9,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,256.0
v1210497717,2021,12,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,251.0
v1210497717,2021,10,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,248.0
v1210497717,2021,4,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,246.0
v1210497717,2021,11,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",13.3.1,235.0
v1210497750,2022,4,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,141.0
v1210497750,2019,7,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,138.0
v1210497750,2019,4,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,127.0
v1210497750,2020,7,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,125.0
v1210497750,2019,6,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,124.0
v1210497750,2020,5,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,123.0
v1210497750,2022,5,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,117.0
v1210497750,2021,6,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,116.0
v1210497750,2019,5,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,115.0
v1210497750,2019,11,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,115.0
v1210497750,2020,1,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,113.0
v1210497750,2022,6,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,113.0
v1210497750,2020,10,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,112.0
v1210497750,2022,3,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,112.0
v1210497750,2021,7,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,111.0
v1210497750,2021,11,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,111.0
v1210497750,2020,11,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,108.0
v1210497750,2019,9,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,107.0
v1210497750,2020,2,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,107.0
v1210497750,2019,8,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,106.0
v1210497750,2020,6,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,104.0
v1210497750,2020,8,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,104.0
v1210497750,2019,3,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,103.0
v1210497750,2020,4,Alberta,Assaults,"Assaults by family (levels 1, 2, 3)",14.3.1,102.0
