,Vector ID,Year,Province,Employment Type,Type of Statistic,Unit of Measure,Value
0,v107657947,2019,Newfoundland and Labrador,All persons with employment income,Number of persons,Number,292.0
1,v107657948,2019,Newfoundland and Labrador,All persons with employment income,Average employment income,2021 constant dollars,48000.0
2,v107657949,2019,Newfoundland and Labrador,All persons with employment income,Median employment income,2021 constant dollars,33100.0
3,v107657950,2019,Newfoundland and Labrador,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,12.3
4,v107657951,2019,Newfoundland and Labrador,All persons with employment income,"$5,000 to $9,999",Percent,7.2
5,v107657952,2019,Newfoundland and Labrador,All persons with employment income,"$10,000 to $19,999",Percent,14.9
6,v107657953,2019,Newfoundland and Labrador,All persons with employment income,"$20,000 to $29,999",Percent,12.3
7,v107657954,2019,Newfoundland and Labrador,All persons with employment income,"$30,000 to $39,999",Percent,7.8
8,v107657955,2019,Newfoundland and Labrador,All persons with employment income,"$40,000 to $49,999",Percent,9.5
9,v107657956,2019,Newfoundland and Labrador,All persons with employment income,"$50,000 to $59,999",Percent,5.6
10,v107657957,2019,Newfoundland and Labrador,All persons with employment income,"$60,000 to $79,999",Percent,10.7
11,v107657958,2019,Newfoundland and Labrador,All persons with employment income,"$60,000 to $69,999",Percent,6.6
12,v107657959,2019,Newfoundland and Labrador,All persons with employment income,"$70,000 to $79,999",Percent,4.1
13,v107657960,2019,Newfoundland and Labrador,All persons with employment income,"$80,000 to $99,999",Percent,7.7
14,v107657961,2019,Newfoundland and Labrador,All persons with employment income,"$80,000 to $89,999",Percent,4.7
15,v107657962,2019,Newfoundland and Labrador,All persons with employment income,"$90,000 to $99,999",Percent,3.0
16,v107657963,2019,Newfoundland and Labrador,All persons with employment income,"$100,000 and over",Percent,12.1
17,v107657998,2019,Newfoundland and Labrador,All persons with employment income,Number of persons,Number,150.0
18,v107657999,2019,Newfoundland and Labrador,All persons with employment income,Average employment income,2021 constant dollars,57500.0
19,v107658000,2019,Newfoundland and Labrador,All persons with employment income,Median employment income,2021 constant dollars,42900.0
20,v107658001,2019,Newfoundland and Labrador,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,9.9
21,v107658002,2019,Newfoundland and Labrador,All persons with employment income,"$5,000 to $9,999",Percent,5.7
22,v107658003,2019,Newfoundland and Labrador,All persons with employment income,"$10,000 to $19,999",Percent,12.9
23,v107658004,2019,Newfoundland and Labrador,All persons with employment income,"$20,000 to $29,999",Percent,10.8
24,v107658005,2019,Newfoundland and Labrador,All persons with employment income,"$30,000 to $39,999",Percent,7.0
25,v107658006,2019,Newfoundland and Labrador,All persons with employment income,"$40,000 to $49,999",Percent,9.6
26,v107658007,2019,Newfoundland and Labrador,All persons with employment income,"$50,000 to $59,999",Percent,6.1
27,v107658008,2019,Newfoundland and Labrador,All persons with employment income,"$60,000 to $79,999",Percent,12.1
28,v107658009,2019,Newfoundland and Labrador,All persons with employment income,"$60,000 to $69,999",Percent,7.9
29,v107658010,2019,Newfoundland and Labrador,All persons with employment income,"$70,000 to $79,999",Percent,4.2
30,v107658011,2019,Newfoundland and Labrador,All persons with employment income,"$80,000 to $99,999",Percent,7.7
31,v107658012,2019,Newfoundland and Labrador,All persons with employment income,"$80,000 to $89,999",Percent,4.6
32,v107658013,2019,Newfoundland and Labrador,All persons with employment income,"$90,000 to $99,999",Percent,3.0
33,v107658014,2019,Newfoundland and Labrador,All persons with employment income,"$100,000 and over",Percent,18.1
34,v107658049,2019,Newfoundland and Labrador,All persons with employment income,Number of persons,Number,142.0
35,v107658050,2019,Newfoundland and Labrador,All persons with employment income,Average employment income,2021 constant dollars,38100.0
36,v107658051,2019,Newfoundland and Labrador,All persons with employment income,Median employment income,2021 constant dollars,26300.0
37,v107658052,2019,Newfoundland and Labrador,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,14.8
38,v107658053,2019,Newfoundland and Labrador,All persons with employment income,"$5,000 to $9,999",Percent,8.8
39,v107658054,2019,Newfoundland and Labrador,All persons with employment income,"$10,000 to $19,999",Percent,17.0
