,Vector ID,Year,Province,Labour force characteristics,Sex,Unit of Measure,Value,Coordinate
0,v1063542156,2019,Newfoundland and Labrador,Population,Males,Persons,219.2,2.1.2.1
1,v1063542157,2019,Newfoundland and Labrador,Population,Males,Persons,28.9,2.1.2.2
2,v1063542158,2019,Newfoundland and Labrador,Population,Males,Persons,190.4,2.1.2.3
3,v1063542159,2019,Newfoundland and Labrador,Population,Males,Persons,58.6,2.1.2.4
4,v1063542177,2019,Newfoundland and Labrador,Population,Males,Persons,79.6,2.1.2.22
5,v1063542160,2019,Newfoundland and Labrador,Population,Males,Persons,131.8,2.1.2.5
6,v1063542161,2019,Newfoundland and Labrador,Population,Males,Persons,96.2,2.1.2.6
7,v1063542162,2019,Newfoundland and Labrador,Population,Males,Persons,94.2,2.1.2.7
8,v1063542163,2019,Newfoundland and Labrador,Population,Males,Persons,167.1,2.1.2.8
9,v1063542164,2019,Newfoundland and Labrador,Population,Males,Persons,14.0,2.1.2.9
10,v1063542165,2019,Newfoundland and Labrador,Population,Males,Persons,14.9,2.1.2.10
11,v1063542166,2019,Newfoundland and Labrador,Population,Males,Persons,14.6,2.1.2.11
12,v1063542167,2019,Newfoundland and Labrador,Population,Males,Persons,14.2,2.1.2.12
13,v1063542168,2019,Newfoundland and Labrador,Population,Males,Persons,13.9,2.1.2.13
14,v1063542169,2019,Newfoundland and Labrador,Population,Males,Persons,15.9,2.1.2.14
15,v1063542170,2019,Newfoundland and Labrador,Population,Males,Persons,17.7,2.1.2.15
16,v1063542171,2019,Newfoundland and Labrador,Population,Males,Persons,19.9,2.1.2.16
17,v1063542172,2019,Newfoundland and Labrador,Population,Males,Persons,21.3,2.1.2.17
18,v1063542173,2019,Newfoundland and Labrador,Population,Males,Persons,20.7,2.1.2.18
19,v1063542174,2019,Newfoundland and Labrador,Population,Males,Persons,52.2,2.1.2.19
20,v1063542175,2019,Newfoundland and Labrador,Population,Males,Persons,19.2,2.1.2.20
21,v1063542176,2019,Newfoundland and Labrador,Population,Males,Persons,33.0,2.1.2.21
22,v1063542178,2019,Newfoundland and Labrador,Population,Females,Persons,226.5,2.1.3.1
23,v1063542179,2019,Newfoundland and Labrador,Population,Females,Persons,26.5,2.1.3.2
24,v1063542180,2019,Newfoundland and Labrador,Population,Females,Persons,200.0,2.1.3.3
25,v1063542181,2019,Newfoundland and Labrador,Population,Females,Persons,60.4,2.1.3.4
26,v1063542199,2019,Newfoundland and Labrador,Population,Females,Persons,82.8,2.1.3.22
27,v1063542182,2019,Newfoundland and Labrador,Population,Females,Persons,139.6,2.1.3.5
28,v1063542183,2019,Newfoundland and Labrador,Population,Females,Persons,100.1,2.1.3.6
29,v1063542184,2019,Newfoundland and Labrador,Population,Females,Persons,99.9,2.1.3.7
30,v1063542185,2019,Newfoundland and Labrador,Population,Females,Persons,169.7,2.1.3.8
31,v1063542186,2019,Newfoundland and Labrador,Population,Females,Persons,13.0,2.1.3.9
32,v1063542187,2019,Newfoundland and Labrador,Population,Females,Persons,13.5,2.1.3.10
33,v1063542188,2019,Newfoundland and Labrador,Population,Females,Persons,13.8,2.1.3.11
34,v1063542189,2019,Newfoundland and Labrador,Population,Females,Persons,14.4,2.1.3.12
35,v1063542190,2019,Newfoundland and Labrador,Population,Females,Persons,17.3,2.1.3.13
36,v1063542191,2019,Newfoundland and Labrador,Population,Females,Persons,14.9,2.1.3.14
37,v1063542192,2019,Newfoundland and Labrador,Population,Females,Persons,19.3,2.1.3.15
38,v1063542193,2019,Newfoundland and Labrador,Population,Females,Persons,20.4,2.1.3.16
39,v1063542194,2019,Newfoundland and Labrador,Population,Females,Persons,21.7,2.1.3.17
40,v1063542195,2019,Newfoundland and Labrador,Population,Females,Persons,21.4,2.1.3.18
41,v1063542196,2019,Newfoundland and Labrador,Population,Females,Persons,56.8,2.1.3.19
42,v1063542197,2019,Newfoundland and Labrador,Population,Females,Persons,19.8,2.1.3.20
43,v1063542198,2019,Newfoundland and Labrador,Population,Females,Persons,37.0,2.1.3.21
44,v1063542222,2019,Newfoundland and Labrador,Labour force,Males,Persons,138.3,2.2.2.1
45,v1063542223,2019,Newfoundland and Labrador,Labour force,Males,Persons,17.8,2.2.2.2
46,v1063542224,2019,Newfoundland and Labrador,Labour force,Males,Persons,120.4,2.2.2.3
47,v1063542225,2019,Newfoundland and Labrador,Labour force,Males,Persons,52.5,2.2.2.4
48,v1063542243,2019,Newfoundland and Labrador,Labour force,Males,Persons,59.5,2.2.2.22
49,v1063542226,2019,Newfoundland and Labrador,Labour force,Males,Persons,67.9,2.2.2.5
50,v1063542227,2019,Newfoundland and Labrador,Labour force,Males,Persons,84.2,2.2.2.6
51,v1063542228,2019,Newfoundland and Labrador,Labour force,Males,Persons,36.3,2.2.2.7
52,v1063542229,2019,Newfoundland and Labrador,Labour force,Males,Persons,129.8,2.2.2.8
